               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.065027,             0.15506,            0.017839,             0.80181,             0.44697,             0.50894,              0.1885,            0.059856,             0.20892,            0.014118,            0.003763,            0.003763,            0.003763
                  65,            0.064857,              0.1758,            0.017515,             0.86988,             0.40796,             0.54545,             0.17838,             0.05843,             0.19922,            0.013845,            0.003664,            0.003664,            0.003664
                  66,            0.057729,             0.16815,            0.017443,             0.87654,             0.48819,             0.53715,             0.21877,            0.056144,             0.19006,            0.013523,            0.003565,            0.003565,            0.003565
                  67,              0.0583,             0.15625,            0.014519,             0.86621,              0.4679,             0.56677,             0.20845,            0.056689,             0.19174,            0.013269,            0.003466,            0.003466,            0.003466
                  68,            0.059915,             0.14918,            0.016656,             0.86621,              0.4679,             0.56677,             0.20845,            0.056689,             0.19174,            0.013269,            0.003367,            0.003367,            0.003367
                  69,            0.056502,             0.18875,             0.01637,             0.88839,             0.44761,             0.50861,             0.19978,            0.057579,             0.19366,            0.013102,            0.003268,            0.003268,            0.003268
                  70,            0.063077,             0.17794,             0.01595,             0.77567,             0.46122,             0.46706,             0.17019,              0.0581,             0.19153,             0.01296,            0.003169,            0.003169,            0.003169
                  71,            0.063259,             0.15601,            0.018689,             0.93415,             0.48129,              0.5837,             0.22419,            0.054407,             0.19171,            0.012827,             0.00307,             0.00307,             0.00307
                  72,            0.065533,             0.24889,            0.015626,             0.93415,             0.48129,              0.5837,             0.22419,            0.054407,             0.19171,            0.012827,            0.002971,            0.002971,            0.002971
                  73,            0.058031,             0.20288,            0.016855,             0.92125,             0.48086,             0.59343,              0.2336,            0.052104,             0.18976,            0.012686,            0.002872,            0.002872,            0.002872
                  74,            0.052038,             0.16131,            0.013518,              0.9275,             0.46892,             0.54414,             0.22239,            0.055027,             0.19257,            0.012592,            0.002773,            0.002773,            0.002773
                  75,             0.06549,             0.18798,            0.014483,             0.62754,             0.60143,             0.55705,             0.21351,            0.054572,             0.19006,            0.012434,            0.002674,            0.002674,            0.002674
                  76,            0.063876,             0.16962,            0.015005,             0.62754,             0.60143,             0.55705,             0.21351,            0.054572,             0.19006,            0.012434,            0.002575,            0.002575,            0.002575
                  77,            0.064529,             0.17602,            0.019044,              0.8502,              0.4688,             0.59859,             0.24064,             0.05277,             0.18863,            0.012295,            0.002476,            0.002476,            0.002476
                  78,            0.051676,             0.17733,            0.013976,             0.97519,             0.49242,             0.60691,             0.25926,            0.051529,               0.189,            0.012167,            0.002377,            0.002377,            0.002377
                  79,            0.055124,             0.18633,            0.015253,             0.92332,             0.47497,             0.60339,             0.24822,            0.051783,                0.19,            0.012098,            0.002278,            0.002278,            0.002278
                  80,            0.056602,             0.14917,            0.016669,             0.92332,             0.47497,             0.60339,             0.24822,            0.051783,                0.19,            0.012098,            0.002179,            0.002179,            0.002179
                  81,            0.055114,             0.17546,            0.016115,             0.92262,             0.47214,             0.59668,              0.2432,            0.052232,             0.19336,            0.012047,             0.00208,             0.00208,             0.00208
                  82,            0.062333,             0.21037,            0.015899,             0.98039,             0.49242,             0.62053,             0.27879,            0.049515,             0.19019,            0.011986,            0.001981,            0.001981,            0.001981
                  83,            0.061754,             0.23102,              0.0144,             0.72922,             0.58827,             0.63339,             0.26532,            0.050567,             0.18903,            0.011951,            0.001882,            0.001882,            0.001882
                  84,            0.057037,             0.18704,            0.016001,             0.72922,             0.58827,             0.63339,             0.26532,            0.050567,             0.18903,            0.011951,            0.001783,            0.001783,            0.001783
                  85,            0.054459,             0.17519,            0.013263,             0.76089,             0.59217,              0.6407,             0.27821,            0.049861,             0.18756,            0.011869,            0.001684,            0.001684,            0.001684
                  86,            0.053836,             0.15634,             0.01386,             0.79562,             0.58165,             0.62736,             0.27059,            0.051054,             0.18771,            0.011831,            0.001585,            0.001585,            0.001585
                  87,            0.055613,             0.17231,            0.015778,             0.82211,             0.58081,             0.62426,             0.26159,            0.050634,             0.18695,            0.011787,            0.001486,            0.001486,            0.001486
                  88,            0.055058,             0.15953,            0.015795,             0.82211,             0.58081,             0.62426,             0.26159,            0.050634,             0.18695,            0.011787,            0.001387,            0.001387,            0.001387
                  89,            0.055174,             0.13963,            0.022516,             0.84357,             0.59064,               0.614,             0.23558,            0.053022,             0.18866,            0.011778,            0.001288,            0.001288,            0.001288
                  90,            0.052876,             0.15754,            0.012232,             0.79088,             0.59129,             0.61727,             0.26058,            0.050617,             0.18698,            0.011715,            0.001189,            0.001189,            0.001189
                  91,            0.053417,             0.18939,             0.01435,             0.78236,             0.59485,             0.64202,              0.2683,            0.049524,             0.18549,            0.011679,             0.00109,             0.00109,             0.00109
                  92,            0.063094,             0.14104,            0.033069,             0.78236,             0.59485,             0.64202,              0.2683,            0.049524,             0.18549,            0.011679,            0.000991,            0.000991,            0.000991
                  93,            0.053612,             0.16799,            0.013146,             0.77294,             0.59632,             0.63845,             0.27024,            0.049407,               0.186,            0.011612,            0.000892,            0.000892,            0.000892
                  94,             0.05349,             0.15312,            0.014379,             0.80662,             0.59639,             0.64345,             0.28143,            0.048652,             0.18524,            0.011597,            0.000793,            0.000793,            0.000793
                  95,            0.052718,             0.13998,            0.011857,             0.77795,             0.57522,             0.59225,              0.2739,             0.04918,             0.18585,            0.011587,            0.000694,            0.000694,            0.000694
                  96,            0.055315,             0.18456,            0.014975,             0.77795,             0.57522,             0.59225,              0.2739,             0.04918,             0.18585,            0.011587,            0.000595,            0.000595,            0.000595
                  97,            0.059735,             0.17087,            0.017546,             0.81828,             0.58973,             0.61092,             0.27035,            0.049666,             0.18594,              0.0116,            0.000496,            0.000496,            0.000496
                  98,            0.053454,              0.1696,            0.013246,             0.78722,             0.57105,             0.59275,             0.26823,            0.049735,               0.186,            0.011583,            0.000397,            0.000397,            0.000397
                  99,            0.052608,             0.14906,            0.012701,             0.81221,             0.59471,             0.63796,             0.28642,            0.048727,             0.18509,            0.011564,            0.000298,            0.000298,            0.000298
